id,subunit,iou_0,iou_1,iou_2,dice_0,dice_1,dice_2,recall_0,recall_1,recall_2,specificity_0,specificity_1,specificity_2
4671,35,0.999771943,0.720378148,0.601065704,0.999885958,0.83746489,0.750832027,0.999980035,0.792507825,0.819661302,0.995549009,0.997031573,0.994131351
4671,34,0.991568741,0.54622597,0.03239134,0.995766524,0.706527999,0.06275012,1,0.551600106,0.513089005,0.854409706,0.999437421,0.983763115
4671,33,0.986914483,0.69133947,0,0.993414152,0.817505276,0,1,0.69133947,,0.826695472,1,0.990380287
4671,32,0.992286943,0.772559006,0.612423341,0.996128541,0.871687773,0.759630955,0.999997441,0.792713673,0.866048429,0.893876068,0.998419615,0.99534877
4671,31,0.986001446,0.690020721,0.379475062,0.992951388,0.816582557,0.550173138,0.999995302,0.733138485,0.604093354,0.850137246,0.994953745,0.992938721
4671,30,0.979538818,0.736568282,0.635112428,0.989663662,0.848303277,0.776842519,0.999996207,0.77378113,0.75803326,0.846733149,0.994463592,0.995815906
4671,3,0.999566248,0.921580874,0,0.999783077,0.959190307,0,0.999981835,0.921580874,,0.992852062,1,0.99606514
4671,29,0.978540445,0.384535626,0.022967154,0.989153846,0.555472346,0.044903013,1,0.384838884,0.890343699,0.706440018,0.999941616,0.977981135
4671,28,0.983501532,0.711470811,0.57744611,0.99168215,0.831414485,0.732127845,0.99999789,0.77069926,0.655942806,0.841838282,0.993034965,0.997413006
4671,27,0.980239849,0.621307512,0.051278723,0.990021335,0.766427723,0.097554952,0.999999483,0.622875336,0.745752045,0.75934232,0.999790877,0.989730683
4671,26,0.997125676,0.771826296,0.772295419,0.99856077,0.871221177,0.871519963,0.999979079,0.861315806,0.843362544,0.959193178,0.995454494,0.99736811
4671,25,0.996045777,0.785176521,0.74494193,0.998018972,0.879662612,0.853830052,0.999998983,0.78643093,0.995448314,0.940119669,0.999925122,0.994048572
4671,24,0.959827107,0.632221026,0.508744856,0.979501818,0.774675753,0.674394818,1,0.6405367,0.793103448,0.706866547,0.998283632,0.994631234
4671,23,0.977699811,0.715964998,0.470550022,0.988724179,0.834475061,0.639964659,0.999995713,0.718555652,0.917264669,0.815951557,0.999592552,0.991342508
4671,22,0.99812107,0.656396659,0.644718446,0.999059652,0.792559747,0.783986399,1,0.783235792,0.769163887,0.969962322,0.993591089,0.994669727
4671,21,0.999966764,0.700491867,0.507320955,0.999983382,0.823869705,0.673142576,0.999992063,0.70062701,1,0.999372894,0.999994103,0.99106171
4671,20,0.966549952,0.686876554,0.517988008,0.982990492,0.814376787,0.682466535,1,0.692163729,0.89162844,0.786841818,0.998886541,0.990272795
4671,2,0.995640607,0.849629476,0.643710762,0.997815542,0.918702353,0.783240917,1,0.877475109,0.862652146,0.966604137,0.996616336,0.992231464
4671,19,0.995229215,0.529711915,0.53109215,0.997608904,0.69256428,0.693742895,0.999991446,0.570565096,0.84674194,0.913321667,0.997220124,0.989397674
4671,18,0.999998512,0.635605461,0.417312277,0.999999256,0.777211223,0.588878377,0.999998512,0.646213604,0.940827409,1,0.999480288,0.989222758
4671,17,0.967859088,0.645173855,0.540732222,0.983667066,0.78432301,0.701915899,1,0.652801662,0.888503937,0.753176569,0.99859114,0.992114886
4671,16,0.996082521,0.764215474,0.768944469,0.998037416,0.866351628,0.869382259,1,0.833786215,0.852732376,0.93890873,0.996465166,0.997422751
4671,15,0.996267837,0.787950694,0.649293923,0.99813043,0.881400921,0.787359868,1,0.791990853,0.981600205,0.948862326,0.999710861,0.992271859
4671,14,0.954602441,0.564427395,0.177901024,0.976774019,0.721576976,0.302064469,0.999995608,0.565992724,0.884411453,0.685993561,0.999593194,0.985662383
4671,13,0.989723797,0.580780225,0.177497732,0.994835362,0.734801987,0.301482928,1,0.587476604,0.850776398,0.889127723,0.99900438,0.976559681
4671,12,0.9999995,0.737322018,0.674887542,0.99999975,0.84880294,0.805889977,1,0.793553874,0.884976405,0.999989774,0.997800189,0.994102499
4671,11,0.972555279,0.679632947,0.544481054,0.986086716,0.809263653,0.705066667,1,0.69420068,0.821628341,0.781611494,0.997561235,0.993673868
4671,10,0.996657237,0.627737662,0.508746472,0.99832582,0.771300778,0.674396237,0.999994911,0.708808943,0.735318521,0.950267933,0.994281534,0.990591421
4671,1,0.996682146,0.727216692,0.636474783,0.998338316,0.842067698,0.777860789,0.999964428,0.816632794,0.749849958,0.93506609,0.995885672,0.997123791
4400,5,1,0.21813448,0.120015289,1,0.358145154,0.21431009,1,0.832757131,0.126239614,1,0.987508956,0.999251199
4400,4,0.999905481,0.46407327,0.800122687,0.999952738,0.633948149,0.888964616,0.99990742,0.464160922,0.999872237,0.999882595,0.999999041,0.997173129
4400,3,0.999786862,0.753245132,0.851384599,0.99989342,0.859258205,0.91972743,0.999789801,0.84872492,0.932194647,0.999893288,0.998697382,0.998393993
4400,2,0.999834899,0.743266136,0.841786408,0.999917442,0.852728244,0.914097752,0.999857921,0.863086456,0.910883877,0.999161149,0.998421624,0.998578675
4400,1,0.999828771,0.622696554,0.391132871,0.999914378,0.767483671,0.562322808,0.999843978,0.668943903,0.786867305,0.999474327,0.998395362,0.992897108
4156,5,0.999901011,0.761012647,0.782403101,0.999950503,0.864289815,0.877919367,0.99996667,0.809689452,0.933284017,0.998481973,0.998638879,0.995938447
4156,4,0.999892534,0.87146192,0.900149756,0.999946264,0.931316754,0.947451382,0.99998358,0.963620231,0.921696704,0.997906322,0.998090741,0.999412781
4156,3,0.99968185,0.775563258,0.784245314,0.9998409,0.873596877,0.879077902,0.999997007,0.785026509,0.983542796,0.993163207,0.999694014,0.994915407
4156,2,0.999570424,0.783500626,0.794800595,0.999785166,0.878609869,0.885670082,0.999970225,0.795521955,0.977808263,0.990172769,0.999664768,0.995844612
4156,1,0.99999155,0.984660373,0.952001276,0.999995775,0.992270906,0.975410506,0.99999155,0.994559022,0.968526931,1,0.99920114,0.999581999
4057,9,0.990690355,0.879868423,0.114441931,0.995323409,0.936095752,0.2053798,0.99989545,0.895391749,0.327930848,0.94411442,0.997151067,0.993390591
4057,8,0.989370475,0.816980344,0.280919447,0.99465684,0.899272628,0.438621566,0.999972898,0.860062547,0.4627861,0.9329965,0.992559155,0.99065501
4057,7,0.976487128,0.189515233,0.077623139,0.988103706,0.318642802,0.144063609,0.991341653,0.189814927,0.907160887,0.852992291,0.999848085,0.934095377
4057,6,0.958811673,0.569274314,0.202993214,0.978972799,0.725525561,0.337480231,0.99411656,0.708023438,0.29024209,0.873489494,0.950447506,0.974270453
4057,5,0.947729231,0.737802962,0.043372394,0.973163226,0.849121538,0.083138856,0.999041259,0.801774916,0.056547619,0.829206832,0.976243212,0.99200806
4057,45,0.950607819,0.721152363,0.126472717,0.974678569,0.837987825,0.224546436,0.999516266,0.741666213,0.284950269,0.804238946,0.992960707,0.987664776
4057,44,0.958274731,0.459711997,0.227879768,0.978692842,0.62986671,0.371176028,0.993196456,0.527294932,0.39348729,0.677121485,0.98597898,0.989419256
4057,43,0.970038917,0.320286542,0.107861291,0.984791629,0.485177319,0.194719847,0.984251048,0.339191865,0.905562606,0.759827826,0.996697435,0.966502307
4057,42,0.961710576,0.714748914,0.086907971,0.980481614,0.833648481,0.15991781,0.998354056,0.841560436,0.101978654,0.880489907,0.956087085,0.99214277
4057,41,0.961981228,0.561476525,0.192131534,0.980622255,0.71916102,0.322332777,0.986323415,0.61855141,0.724307279,0.768230849,0.989665662,0.98286199
4057,40,0.973187782,0.657238924,0.069051203,0.986411725,0.793173409,0.129182218,0.994962496,0.696211154,0.241481343,0.799901101,0.993700372,0.988621135
4057,4,0.975958186,0.639516582,0.033165428,0.987832833,0.780128227,0.064201582,0.995226193,0.728209135,0.07089968,0.874914591,0.980898908,0.982365881
4057,39,0.978767012,0.460384472,0.340476814,0.989269587,0.630497627,0.507993589,0.99512718,0.478869749,0.830132436,0.900043601,0.995053959,0.950009449
4057,38,0.999068936,0.674083574,0.121720178,0.999534251,0.805316514,0.217024139,0.999993869,0.679004927,0.856637168,0.987049372,0.999505096,0.980416883
4057,37,0.999175035,0.898599675,0.463591912,0.999587347,0.946592045,0.633498871,0.999188773,0.906105504,0.940482574,0.99993175,0.998485927,0.985151733
4057,36,0.99910408,0.873847094,0.427632832,0.999551839,0.932677054,0.59907957,0.999338685,0.937587382,0.58377746,0.999083581,0.984567958,0.988960546
4057,35,0.99759904,0.823288986,0.019660537,0.998798077,0.903081182,0.038562907,0.999993176,0.82555805,0.546168959,0.987542215,0.99947286,0.973975665
4057,34,0.996141244,0.799898949,0.26899247,0.998066892,0.888826509,0.423946518,1,0.803484954,0.930125247,0.963515689,0.999555555,0.985694115
4057,33,0.99381068,0.816743365,0.000456517,0.996895733,0.899129047,0.000912617,0.99999349,0.816781982,1,0.954816951,0.99999349,0.983295313
4057,32,0.998969138,0.881093187,0.135437113,0.999484303,0.936788452,0.23856383,0.999854282,0.920222914,0.297167467,0.996184519,0.990452288,0.986089752
4057,31,0.921906131,0.653292074,0.395518797,0.95936645,0.790292392,0.566841232,0.99864738,0.658422483,0.907591442,0.805002136,0.997072724,0.963201111
4057,30,0.979309005,0.635339108,0.292081008,0.989546354,0.777012064,0.452109436,0.999338925,0.637811335,0.937019759,0.812526964,0.999608489,0.984545582
4057,3,0.991784107,0.874791131,0.048801555,0.995875109,0.933214497,0.093061561,0.999982392,0.947461633,0.056549481,0.964194373,0.982705162,0.997542103
4057,29,0.998289458,0.836850778,0.393411645,0.999143997,0.911179926,0.564673973,0.998313363,0.895049479,0.670584139,0.999738889,0.994519423,0.992196427
4057,28,0.99994092,0.874111871,0.161879541,0.999970459,0.932827847,0.27865116,0.999974679,0.880231737,0.781383153,0.999682376,0.999280666,0.988832405
4057,27,0.998360663,0.850752382,0.609401991,0.999179659,0.919358408,0.757302395,0.998531551,0.965850382,0.667011794,0.999053337,0.983149586,0.99581735
4057,26,0.998712886,0.910892442,0.539772727,0.999356029,0.953368617,0.701107011,0.998785653,0.96828757,0.645938929,0.999733438,0.985810498,0.993737577
4057,25,0.998979986,0.824414308,0.217424052,0.999489733,0.903757775,0.357187049,0.999005568,0.957330487,0.265970516,0.999784479,0.984526848,0.995761098
4057,24,0.996327915,0.885211509,0.557329861,0.99816058,0.939111081,0.715750561,0.999101821,0.924022346,0.759715994,0.984029089,0.993562471,0.992431618
4057,23,0.999123997,0.852713891,0.072996707,0.999561807,0.920502508,0.136061381,0.999995739,0.88108365,0.254680851,0.992547771,0.99628992,0.988793688
4057,22,0.958769624,0.384808904,0.197477432,0.97895088,0.555757408,0.329822386,0.998357382,0.400680374,0.499802488,0.651407568,0.995870134,0.976863531
4057,21,0.956961841,0.526099526,0.201322766,0.978007666,0.689469483,0.335168485,0.996415501,0.63210563,0.285061513,0.782748669,0.972249053,0.983368039
4057,20,0.939039645,0.586852999,0.155211574,0.968561574,0.73964381,0.268715406,0.997071473,0.684328008,0.178940927,0.751351002,0.967045401,0.994699743
4057,2,0.986943939,0.826969622,0.141656473,0.993429074,0.905291048,0.248159541,0.99982555,0.889345226,0.163956887,0.911125096,0.989946512,0.998339
4057,19,0.999893809,0.936030524,0.10855643,0.999946902,0.966958436,0.19585188,0.999996715,0.951942461,0.315628816,0.999304847,0.997552993,0.994021812
4057,18,0.958879257,0.716670009,0.12100358,0.979008026,0.834953724,0.215884378,0.998829379,0.800732225,0.18618784,0.889223995,0.963574993,0.979676812
4057,17,0.954801222,0.72797779,0.497105462,0.97687807,0.842577716,0.664088769,0.999699521,0.777325048,0.608195642,0.841460059,0.984729988,0.989493155
4057,16,0.970435736,0.711387554,0.205758777,0.984996078,0.831357634,0.341293434,0.999089765,0.767020327,0.382783698,0.887157628,0.98239797,0.979142013
4057,15,0.990572814,0.776746754,0.069732172,0.995264084,0.874347177,0.130373141,0.999951128,0.79429564,0.372457773,0.950631186,0.995843721,0.975845198
4057,14,0.975294379,0.831509515,0.029462345,0.987492689,0.908004581,0.057238314,0.997646409,0.910952355,0.042533258,0.953935405,0.958723267,0.986024845
4057,13,0.992947195,0.817117808,0.499732933,0.996461118,0.899355897,0.666429231,0.999285709,0.867733491,0.702216489,0.954123498,0.992977887,0.991591698
4057,12,0.920627201,0.525411714,0.048953067,0.9586735,0.688878562,0.093337002,0.991963793,0.540775969,0.282106855,0.731291836,0.992021112,0.954511407
4057,11,0.982925417,0.719108257,0.256835959,0.991389196,0.836606135,0.408702436,0.999925834,0.738253493,0.619290704,0.863902022,0.996913744,0.987364701
4057,10,0.988942323,0.750887622,0.449060336,0.994440424,0.857722235,0.619795222,0.99930355,0.797373639,0.717917958,0.939524804,0.991521375,0.983255915
4057,1,0.979544441,0.737786576,0.12464668,0.989666532,0.849110686,0.221663713,0.999334903,0.795895369,0.269376619,0.936535237,0.97859643,0.966810586
3435,6,0.999470343,0.786407575,0.748783055,0.999735101,0.880434662,0.856347564,0.999621829,0.812939349,0.951278623,0.996404743,0.999193933,0.995290246
3435,5,0.999521171,0.641271587,0.359861051,0.999760528,0.781432631,0.529261502,0.999642344,0.714068739,0.668891468,0.997793242,0.99540166,0.988560986
3435,4,0.999732858,0.808893845,0.760070053,0.999866411,0.894351924,0.863681592,0.99987515,0.892359881,0.865824879,0.996992211,0.997290924,0.997218452
3435,3,0.99967332,0.701024448,0.595099225,0.999836633,0.824237945,0.746159506,0.999768287,0.846473096,0.721106297,0.998243919,0.993687194,0.995282849
3435,2,0.999685524,0.665966899,0.562149124,0.999842737,0.799495956,0.719712498,0.999779547,0.724929585,0.844097567,0.997843697,0.997550842,0.992425772
3435,1,0.999667543,0.854572473,0.776558749,0.999833744,0.921584339,0.874228054,0.999810929,0.924518488,0.870785951,0.997228521,0.997446534,0.997655784
3355,4,0.987358511,0.619821635,0.430035349,0.99363905,0.765296156,0.601433173,0.999972449,0.665680993,0.646749427,0.828272533,0.995755605,0.992331535
3355,3,0.989387909,0.459207401,0.44007275,0.99466565,0.629392917,0.611181276,0.999985685,0.606659179,0.507202597,0.820128789,0.988807209,0.99648556
3355,2,0.986964284,0.612553267,0.401834948,0.993439381,0.759730893,0.573298517,0.999979457,0.687412611,0.538413374,0.828851167,0.993401176,0.992954435
3355,1,0.989808257,0.541258793,0.344311861,0.994878027,0.70235939,0.512249979,0.999972581,0.610045468,0.538044458,0.823900006,0.994445066,0.992461354
3353,4,0.99849457,0.757545471,0.602517443,0.999246718,0.862049356,0.751963662,0.999956523,0.830771506,0.766188359,0.959449516,0.997586255,0.997121294
3353,3,0.998324226,0.596307746,0.457108748,0.99916141,0.747108754,0.62741885,0.999940274,0.789300089,0.550037219,0.959458415,0.992662971,0.996646502
3353,2,0.998605022,0.780163876,0.569181271,0.999302024,0.876507929,0.725449993,0.999988593,0.831971954,0.767612236,0.960515869,0.998354433,0.996578231
3353,1,0.997468125,0.587719043,0.398730457,0.998732458,0.740331289,0.570131944,0.999918789,0.771077786,0.508871705,0.959073584,0.989245296,0.99340777
30239,9,0.999953545,0.333810601,0.236016585,0.999976772,0.500536734,0.381898735,0.999958854,0.712980638,0.279114402,0.999878877,0.981154929,0.995188532
